"mag_id","coverage","sample_id","site","time","cluster","rel_abund","domain","phylum","class","order","family","genus","species","phylum2"
"L039_bin.4",0.0132381404284974,"L003","AD","Summer",5,0.00127080937283139,"Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","UBA8139","","","Actinobacteriota"
"L039_bin.7",0.00197743885838158,"L003","AD","Summer",4,0.000189826346759606,"Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira_A","Nitrospira_A sp001567445","Nitrospirota"
"L040_bin.10",0.0178310310269244,"L003","AD","Summer",3,0.00171170879162783,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","LD1","UBA7692","UBA7692 sp001897535","Bacteroidota"
"L040_bin.16",0.00581309536870337,"L003","AD","Summer",5,0.000558034273741987,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","UBA11358","SCTL01","","Verrucomicrobiota"
"L040_bin.20",0.0402832155022417,"L003","AD","Summer",4,0.00386703012439988,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dokdonella_A","Dokdonella_A sp014338185","Proteobacteria"
"L040_bin.21",0.00671101944248152,"L003","AD","Summer",5,0.000644231450393159,"Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","","","Myxococcota"
"L040_bin.7",0.0186998459296004,"L003","AD","Summer",4,0.00179511160243346,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Thiobacillaceae","PFJX01","","Proteobacteria"
"L040_bin.9",0.023371452310817,"L003","AD","Summer",4,0.00224356742653464,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Thiobacillaceae","PFJX01","","Proteobacteria"
"L078_bin.10",12.6340840527264,"L003","AD","Summer",3,1.21282233845941,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","VadinHA17","LD21","LD21 sp012729475","Bacteroidota"
"L078_bin.17",5.89446456072073,"L003","AD","Summer",3,0.565845395888174,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","DTU049","GWF2-43-63","","Bacteroidota"
"L078_bin.28",0.8125,"L003","AD","Summer",1,0.0779968018168773,"Bacteria","Firmicutes_A","Clostridia","Clostridiales","Clostridiaceae","Proteiniclasticum","","Firmicutes"
"L078_bin.34",3.8954121975058,"L003","AD","Summer",3,0.373944237740193,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","DMER64","DMER64 sp001512865","Bacteroidota"
"L078_bin.37",15.8648739014418,"L003","AD","Summer",2,1.52296544681908,"Archaea","Halobacteriota","Methanosarcinia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina mazei","Halobacteriota"
"L078_bin.9",7.76091005158505,"L003","AD","Summer",3,0.745016816261034,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","Geofilum","Geofilum sp002427105","Bacteroidota"
"L080_bin.29",1.76929909889376,"L003","AD","Summer",2,0.16984574913378,"Archaea","Methanobacteriota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","UBA412","UBA412 sp002495685","Methanobacteriota"
"L080_bin.38",2.14388542468949,"L003","AD","Summer",5,0.205804561953967,"Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Mycobacteriaceae","Corynebacterium","Corynebacterium sp012838985","Actinobacteriota"
"L081_bin.10",0.886903959950222,"L003","AD","Summer",1,0.0851392891013429,"Bacteria","Firmicutes_A","Clostridia","Tissierellales","Peptoniphilaceae","","","Firmicutes"
