"cluster","mag_id","NMDS1","NMDS2","NMDS3","NMDS4","NMDS5","NMDS6","NMDS7","NMDS8","NMDS9","NMDS10","NMDS11","NMDS12","NMDS13","NMDS14","NMDS15","NMDS16","NMDS17","NMDS18","NMDS19","NMDS20","bin_id","sample_id","domain","phylum","class","order","family","genus","species","phylum2"
1,"L038_bin.11",-0.115416619188138,-0.316741645276022,-0.241584673696757,0.0677416387503779,-0.298818842662508,0.193210953205435,-0.0617121802311174,-0.179644320460422,-0.283310009343951,-0.0269976484256587,-0.257638304478247,0.232018469445348,0.0537602535607983,-0.0915059966078747,-0.134482878323785,-0.0281697674019042,0.0553905510778417,-0.0450000221636208,0.0667293883005377,0.0776787411935349,"bin.11","L038","Bacteria","Firmicutes_B","Syntrophomonadia","Syntrophomonadales","Syntrophomonadaceae","DTU018","","Firmicutes"
1,"L038_bin.16",-0.286002005664044,-0.269253228499593,-0.376688779055451,-0.237166313002458,-0.0463597307754738,-0.0198584409832333,-0.0796102365551979,0.043674700316527,-0.0838693784817024,-0.0763297620741978,0.234626230311534,0.0819482206705976,-0.118376610949698,-0.0858819629060892,0.145969242182486,-0.0659701708206206,-0.00508651471614131,0.0180528438505032,0.108853280250263,-0.0690515658630859,"bin.16","L038","Bacteria","Firmicutes_A","Clostridia","Clostridiales","Clostridiaceae","JG1575","","Firmicutes"
1,"L038_bin.2",-0.461302045217297,-0.218104025882512,-0.294647956578877,-0.0822543151269548,-0.0145090001881602,0.0273542135887093,-0.156600476814405,-0.110475614038813,-0.0454024243637683,-0.0478979809813457,0.0856860742589218,0.00150473190814522,-0.0955346281471648,0.0770341438920017,0.134759712772529,0.089041211524643,0.08713358833935,0.0381626689860947,-0.147403100803468,0.0172285470016163,"bin.2","L038","Bacteria","Firmicutes_A","Clostridia","Tissierellales","Peptoniphilaceae","JAAYQA01","","Firmicutes"
1,"L038_bin.23",-0.129389450823712,-0.308242482144048,-0.190702129508703,0.150138559938971,-0.451594595080349,0.154932244365861,-0.0605725741400992,-0.263223667207457,-0.321793161065095,-0.020833634508933,-0.245820015277764,0.250209061329536,0.137654678287711,-0.0181511946209477,-0.0370700528922392,-0.0583449761915643,0.101922572381645,-0.096367857806883,0.0200549277169342,0.0568900738272334,"bin.23","L038","Bacteria","Firmicutes_B","Syntrophomonadia","Syntrophomonadales","Syntrophomonadaceae","UBA4844","","Firmicutes"
1,"L038_bin.25",-0.373088991385816,-0.154804976631871,-0.157893919889398,-0.0515260970226472,-0.0323198157053144,0.0129048731072794,-0.119489922835308,-0.121812266527615,-0.0963661781475775,0.0200504322769894,0.060166486660059,0.0854129560966871,0.18489034499526,0.0888266893577087,0.0312588077443164,-0.0951981881464765,-0.310920910414722,0.154265965686581,-0.0490641625210059,0.0806055011068191,"bin.25","L038","Bacteria","Firmicutes_A","Clostridia","Peptostreptococcales","Anaerovoracaceae","JAAZGD01","","Firmicutes"
1,"L038_bin.7",-0.745359633599293,-0.0354350586928113,-0.344807534432191,0.373829556926486,0.241942617005179,0.127101721725419,0.0807101484002412,0.158723347734218,-0.0957845951431627,-0.152691375161706,0.0389395901446035,0.289648589447762,0.0129611907923831,0.00585139797874427,0.0529890170521788,-0.0203417260426673,-0.061004110612481,0.00829491398564337,0.0394392885704923,-0.063577829426482,"bin.7","L038","Bacteria","Firmicutes_A","Clostridia","Saccharofermentanales","DTU023","UBA4923","UBA4923 sp002427535","Firmicutes"
4,"L039_bin.10",0.827543189436912,0.0801509471926851,-0.0388521662302224,0.114976888247593,0.0407168430307521,-0.0786287615486061,0.0386420625284821,-0.100838690900366,-0.0419919775128009,-0.254653301475576,-0.136876418828928,0.0158043899911263,-0.158460733858667,-0.0231201720005629,0.00161525045474456,-0.00162123014574257,-0.312173647305831,-0.122522415053433,-0.0382509824070444,-0.0594507263384669,"bin.10","L039","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","UBA5518","UBA5518","","Proteobacteria"
5,"L039_bin.13",0.0760370522370755,0.0379673099089428,-0.105217758686894,-0.418416142307387,0.154485796074431,0.627962153710318,0.0667345662512366,0.0502806738009176,0.148975459723407,-0.222970177105627,0.118414453203379,-0.0439365928392588,0.206912159660642,-0.00720572066620995,-0.0357796910407071,0.0855158221000789,-0.0402632499366275,0.106263828168289,0.0631166187926612,-0.0215823579311397,"bin.13","L039","Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Microbacteriaceae","Terrimesophilobacter","","Actinobacteriota"
5,"L039_bin.4",0.0868953035336658,-0.0419084531538743,0.030681695613098,-0.174667836898677,-0.169669499501914,0.547958309083348,0.127676986555799,-0.148937501918179,0.154987097644916,-0.206388906877162,-0.0607377148220641,0.134853167138616,0.0868299279539298,0.116985009658084,-0.131522624145711,0.0716314702180962,-0.0859873416949535,0.0421532528019261,-0.104142501548471,-0.219820585808186,"bin.4","L039","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","UBA8139","","","Actinobacteriota"
4,"L039_bin.7",0.69743196674372,-0.0739131846014503,-0.0174290503666342,-0.0142814020347653,-0.159991872165033,-0.0113065850019248,0.04394913733169,0.195601798214646,0.190871101536476,0.154747984061603,-0.167212392351033,0.293709781530188,0.0162820441002283,0.219585487357368,0.188978305109254,-0.121124776347581,0.0769156971483797,-0.0348583696128804,0.137736790077657,-0.0377356301062889,"bin.7","L039","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira_A","Nitrospira_A sp001567445","Nitrospirota"
